match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link,player_1_id,player_2_id,p1_set1,p1_set2,p1_set3,p1_set4,p1_set5,p2_set1,p2_set2,p2_set3,p2_set4,p2_set5,best_of,winner_id
17-06-2025,A. Popyrin,A. Vukic,02:31:17,Round of 32,6 6(9) 7,2 7 6(3),Alexei Popyrin,Completed,ms030,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/ms030,p09z,v832,6,6(9),7,,,2,7,6(3),,,3,p09z
16-06-2025,H. Rune,C. O'Connell,01:17:16,Round of 32,6 6,3 4,Holger Rune,Completed,ms020,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/ms020,r0dg,o483,6,6,,,,3,4,,,,3,r0dg
16-06-2025,D. Evans,F. Tiafoe,01:34:29,Round of 32,7 6,5 2,Daniel Evans,Completed,ms028,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/ms028,e687,td51,7,6,,,,5,2,,,,3,e687
16-06-2025,J. Mensik,C. Norrie,02:00:40,Round of 32,7 1 6,6(6) 6 1,Jakub Mensik,Completed,ms023,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/ms023,m0ni,n771,7,1,6,,,6(6),6,1,,,3,m0ni
16-06-2025,R. Bautista Agut,N. Borges,02:31:04,Round of 32,6(6) 7 6,7 5 4,Roberto Bautista Agut,Completed,ms022,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/ms022,bd06,bt72,6(6),7,6,,,7,5,4,,,3,bd06
16-06-2025,J. Fearnley,A. Bolt,01:07:14,Round of 32,6 6,2 4,Jacob Fearnley,Completed,ms026,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/ms026,f0by,bi81,6,6,,,,2,4,,,,3,f0by
16-06-2025,M. McDonald,G. Monfils,01:24:57,Round of 32,6 6,4 4,Mackenzie McDonald,Completed,ms021,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/ms021,mk66,mc65,6,6,,,,4,4,,,,3,mk66
15-06-2025,A. Vukic,A. Walton,01:24:37,2nd Round Qualifying,6 6,4 4,Aleksandar Vukic,Completed,qs005,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs005,v832,w09e,6,6,,,,4,4,,,,3,v832
15-06-2025,A. Bolt,C. O'Connell,02:13:12,2nd Round Qualifying,3 7 6,6 6(4) 3,Alex Bolt,Completed,qs007,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs007,bi81,o483,3,7,6,,,6,6(4),3,,,3,bi81
15-06-2025,C. Moutet,A. Rinderknech,02:31:33,2nd Round Qualifying,6 3 7,3 6 5,Corentin Moutet,Completed,qs006,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs006,mw02,rc91,6,3,7,,,3,6,5,,,3,mw02
15-06-2025,M. McDonald,H. Searle,01:04:46,2nd Round Qualifying,6 6,4 2,Mackenzie McDonald,Completed,qs004,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs004,mk66,s0tx,6,6,,,,4,2,,,,3,mk66
14-06-2025,H. Searle,Y. Bu,01:53:16,1st Round Qualifying,7 7,6(0) 6(6),Henry Searle,Completed,qs008,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs008,s0tx,y09v,7,7,,,,6(0),6(6),,,,3,s0tx
14-06-2025,A. Walton,H. Medjedovic,01:23:09,1st Round Qualifying,7 6,6(5) 2,Adam Walton,Completed,qs010,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs010,w09e,m0jf,7,6,,,,6(5),2,,,,3,w09e
14-06-2025,C. Moutet,M. Bellucci,02:43:35,1st Round Qualifying,7 4 6,6(3) 6 3,Corentin Moutet,Completed,qs012,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs012,mw02,b0gg,7,4,6,,,6(3),6,3,,,3,mw02
14-06-2025,M. McDonald,A. Kovacevic,01:32:26,1st Round Qualifying,6 7,2 6(6),Mackenzie McDonald,Completed,qs009,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs009,mk66,k0az,6,7,,,,2,6(6),,,,3,mk66
14-06-2025,A. Vukic,J. Manuel Cerundolo,01:10:01,1st Round Qualifying,6 6,4 3,Aleksandar Vukic,Completed,qs011,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs011,v832,,6,6,,,,4,3,,,,3,v832
14-06-2025,C. O'Connell,J. Duckworth,01:16:37,1st Round Qualifying,7 6,6(4) 0,Christopher O'Connell,Completed,qs015,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs015,o483,d994,7,6,,,,6(4),0,,,,3,o483
14-06-2025,A. Rinderknech,J. Monday,01:40:55,1st Round Qualifying,7 7,6(2) 6(2),Arthur Rinderknech,Completed,qs013,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs013,rc91,m0on,7,7,,,,6(2),6(2),,,,3,rc91
14-06-2025,A. Bolt,J. Clarke,01:12:24,1st Round Qualifying,6 6,3 4,Alex Bolt,Completed,qs014,311,https://www.atptour.com//en/scores/stats-centre/archive/2025/311/qs014,bi81,ci14,6,6,,,,3,4,,,,3,bi81
22-06-2025,A. Bublik,D. Medvedev,01:21:12,Final,6 7,3 6(4),Alexander Bublik,Completed,ms001,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms001,bk92,mm58,6,7,,,,3,6(4),,,,3,bk92
21-06-2025,D. Medvedev,A. Zverev,02:59:52,Semifinals,7 6(1) 6,6(3) 7 4,Daniil Medvedev,Completed,ms003,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms003,mm58,z355,7,6(1),6,,,6(3),7,4,,,3,mm58
21-06-2025,A. Bublik,K. Khachanov,02:02:09,Semifinals,4 7 6,6 6(5) 4,Alexander Bublik,Completed,ms002,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms002,bk92,ke29,4,7,6,,,6,6(5),4,,,3,bk92
20-06-2025,A. Zverev,F. Cobolli,01:41:29,Quarterfinals,6 7,4 6(6),Alexander Zverev,Completed,ms007,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms007,z355,c0e9,6,7,,,,4,6(6),,,,3,z355
20-06-2025,D. Medvedev,A. Michelsen,01:25:40,Quarterfinals,6 6,4 3,Daniil Medvedev,Completed,ms006,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms006,mm58,m0qi,6,6,,,,4,3,,,,3,mm58
20-06-2025,A. Bublik,T. Machac,01:22:49,Quarterfinals,7 6,6(2) 3,Alexander Bublik,Completed,ms004,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms004,bk92,m0fh,7,6,,,,6(2),3,,,,3,bk92
20-06-2025,K. Khachanov,T. Martin Etcheverry,01:12:35,Quarterfinals,6 6,3 2,Karen Khachanov,Completed,ms005,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms005,ke29,,6,6,,,,3,2,,,,3,ke29
19-06-2025,A. Bublik,J. Sinner,02:02:13,Round of 16,3 6 6,6 3 4,Alexander Bublik,Completed,ms008,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms008,bk92,s0ag,3,6,6,,,6,3,4,,,3,bk92
19-06-2025,A. Zverev,L. Sonego,02:23:57,Round of 16,3 6 7,6 4 6(2),Alexander Zverev,Completed,ms015,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms015,z355,su87,3,6,7,,,6,4,6(2),,,3,z355
19-06-2025,T. Martin Etcheverry,A. Rublev,03:01:01,Round of 16,6 6(4) 7,3 7 6(6),Tomas Martin Etcheverry,Completed,ms010,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms010,,re44,6,6(4),7,,,3,7,6(6),,,3,ea24
19-06-2025,T. Machac,F. Marozsan,00:59:18,Round of 16,6 6,2 3,Tomas Machac,Completed,ms009,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms009,m0fh,m0ci,6,6,,,,2,3,,,,3,m0fh
19-06-2025,K. Khachanov,F. Auger-Aliassime,01:40:08,Round of 16,6 1 6,3 6 3,Karen Khachanov,Completed,ms011,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms011,ke29,ag37,6,1,6,,,3,6,3,,,3,ke29
19-06-2025,F. Cobolli,D. Shapovalov,02:33:10,Round of 16,7 4 7,6(2) 6 6(5),Flavio Cobolli,Completed,ms014,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms014,c0e9,su55,7,4,7,,,6(2),6,6(5),,,3,c0e9
18-06-2025,D. Medvedev,Q. Halys,01:06:47,Round of 16,6 7,2 5,Daniil Medvedev,Completed,ms013,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms013,mm58,hb64,6,7,,,,2,5,,,,3,mm58
18-06-2025,A. Michelsen,S. Tsitsipas,01:43:28,Round of 16,7 7,6(5) 5,Alex Michelsen,Completed,ms012,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms012,m0qi,te51,7,7,,,,6(5),5,,,,3,m0qi
18-06-2025,A. Zverev,M. Giron,01:19:02,Round of 32,6 6,2 1,Alexander Zverev,Completed,ms031,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms031,z355,gc88,6,6,,,,2,1,,,,3,z355
18-06-2025,K. Khachanov,Z. Bergs,01:34:53,Round of 32,7 6,5 3,Karen Khachanov,Completed,ms023,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms023,ke29,bu13,7,6,,,,5,3,,,,3,ke29
17-06-2025,J. Sinner,Y. Hanfmann,01:30:54,Round of 32,7 6,5 3,Jannik Sinner,Completed,ms016,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms016,s0ag,h997,7,6,,,,5,3,,,,3,s0ag
17-06-2025,A. Rublev,S. Ofner,01:02:23,Round of 32,6 6,3 4,Andrey Rublev,Completed,ms020,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms020,re44,o513,6,6,,,,3,4,,,,3,re44
17-06-2025,A. Michelsen,F. Cerundolo,02:02:06,Round of 32,2 7 6,6 5 4,Alex Michelsen,Completed,ms024,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms024,m0qi,c0au,2,7,6,,,6,5,4,,,3,m0qi
17-06-2025,D. Shapovalov,U. Humbert,02:28:32,Round of 32,6 4 7,4 6 6(4),Denis Shapovalov,Completed,ms028,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms028,su55,hh26,6,4,7,,,4,6,6(4),,,3,su55
17-06-2025,T. Machac,J. de Jong,02:13:29,Round of 32,7 3 6,5 6 3,Tomas Machac,Completed,ms019,500,https://www.atptour.com//en/scores/stats-centre/archive/2025/500/ms019,m0fh,d0c1,7,3,6,,,5,6,3,,,3,m0fh
