match_id,tournament_id,player_1,player_2,p1_id,p2_id,p1_serve_rating,p1_aces,p1_double_faults,p1_first_serve,p1_1st_serve_points_won,p1_2nd_serve_points_won,p1_break_points_saved,p1_service_games_played,p1_return_rating,p1_1st_serve_return_points_won,p1_2nd_serve_return_points_won,p1_break_points_converted,p1_return_games_played,p1_net_points_won,p1_winners,p1_unforced_errors,p1_service_points_won,p1_return_points_won,p1_total_points_won,p1_max_speed,p1_1st_serve_average_speed,p1_2nd_serve_average_speed,p2_serve_rating,p2_aces,p2_double_faults,p2_first_serve,p2_1st_serve_points_won,p2_2nd_serve_points_won,p2_break_points_saved,p2_service_games_played,p2_return_rating,p2_1st_serve_return_points_won,p2_2nd_serve_return_points_won,p2_break_points_converted,p2_return_games_played,p2_net_points_won,p2_winners,p2_unforced_errors,p2_service_points_won,p2_return_points_won,p2_total_points_won,p2_max_speed,p2_1st_serve_average_speed,p2_2nd_serve_average_speed
ms018,301.0,M. NavoneM. NAVONE,A. Mannarin...A. MANNARINO,n0bs,me82,255.0,5.0,7.0,72/116,51/72,21/44,3/7,16.0,163.0,23/58,25/54,6/16,15.0,9/11,35.0,64.0,72/116,48/112,120/228,,,,226.0,3.0,4.0,58/112,35/58,29/54,10/16,15.0,164.0,21/72,23/44,4/7,16.0,5/10,19.0,65.0,64/112,44/116,108/228,,,
ms029,301.0,G. Diallo,L. Sonego,d0f6,su87,303.0,8.0,3.0,77/108,60/77,18/31,3/4,16.0,103.0,27/85,9/31,3/13,16.0,15/23,46.0,46.0,78/108,36/116,114/224,,,,294.0,4.0,2.0,85/116,58/85,22/31,10/13,16.0,95.0,17/77,13/31,1/4,16.0,13/25,23.0,25.0,80/116,30/108,110/224,,,
ms024,301.0,J. Struff,Y. Bu,sl28,y09v,305.0,13.0,1.0,31/50,26/31,12/19,0/1,10.0,157.0,16/45,17/28,3/11,9.0,5/5,33.0,30.0,38/50,33/73,71/123,,,,235.0,6.0,1.0,45/73,29/45,11/28,8/11,9.0,163.0,5/31,7/19,1/1,10.0,3/5,13.0,21.0,40/73,12/50,52/123,,,
ms019,301.0,L. Darderi,N. Borges,d0fj,bt72,251.0,8.0,5.0,55/97,36/55,24/42,2/7,17.0,143.0,18/59,9/27,3/5,16.0,1/3,20.0,58.0,60/97,27/86,87/183,,,,286.0,1.0,1.0,59/86,41/59,18/27,2/5,16.0,178.0,19/55,18/42,5/7,17.0,6/7,15.0,45.0,59/86,37/97,96/183,,,
ms028,301.0,A. Michelse...A. MICHELSEN,S. NagalS. NAGAL,m0qi,n897,266.0,6.0,2.0,73/104,53/73,13/31,7/10,15.0,191.0,30/78,22/33,6/13,15.0,23/36,43.0,45.0,66/104,52/111,118/215,,,,224.0,0.0,3.0,78/111,48/78,11/33,7/13,15.0,135.0,20/73,18/31,3/10,15.0,11/18,23.0,39.0,59/111,38/104,97/215,,,
ms022,301.0,Z. Bergs,I. Becroft,bu13,b0hy,283.0,9.0,2.0,38/70,32/38,16/32,3/4,11.0,187.0,13/35,8/18,3/4,10.0,6/10,23.0,39.0,48/70,21/53,69/123,,,,254.0,1.0,2.0,35/53,22/35,10/18,1/4,10.0,100.0,6/38,16/32,1/4,11.0,3/4,6.0,22.0,32/53,22/70,54/123,,,
ms021,301.0,R. Carballe...R. CARBALLES BAENA,D. AltmaierD. ALTMAIER,cf59,ae14,277.0,4.0,2.0,55/86,39/55,19/31,4/7,15.0,148.0,21/70,28/41,4/17,15.0,12/17,25.0,29.0,58/86,49/111,107/197,,,,240.0,7.0,2.0,70/111,49/70,13/41,13/17,15.0,131.0,16/55,12/31,3/7,15.0,18/31,33.0,59.0,62/111,28/86,90/197,,,
qs004,301.0,A. Mannarin...A. MANNARINO,S. NagalS. NAGAL,me82,n897,229.0,5.0,2.0,37/66,22/37,15/29,5/9,10.0,143.0,14/47,15/27,3/10,11.0,4/11,17.0,36.0,37/66,29/74,66/140,,,,252.0,2.0,0.0,47/74,33/47,12/27,7/10,11.0,173.0,15/37,14/29,4/9,10.0,8/9,21.0,38.0,45/74,29/66,74/140,,,
qs005,301.0,Z. Bergs,F. Comesana,bu13,c0df,264.0,5.0,3.0,52/81,36/52,15/29,3/6,14.0,158.0,22/60,19/36,4/10,14.0,7/11,24.0,36.0,51/81,41/96,92/177,,,,244.0,5.0,6.0,60/96,38/60,17/36,6/10,14.0,150.0,16/52,14/29,3/6,14.0,13/17,17.0,38.0,55/96,30/81,85/177,,,
qs006,301.0,F. Diaz aco...F. DIAZ ACOSTA,L. NardiL. NARDI,d0cg,n0bg,268.0,2.0,2.0,71/105,49/71,19/34,3/7,16.0,120.0,6/56,19/36,1/2,16.0,9/11,23.0,39.0,68/105,25/92,93/197,,,,291.0,5.0,6.0,56/92,50/56,17/36,1/2,16.0,157.0,22/71,15/34,4/7,16.0,8/11,39.0,40.0,67/92,37/105,104/197,,,
qs007,301.0,N. Basavare...N. BASAVAREDDY,D. AltmaierD. ALTMAIER,b0nn,ae14,315.0,1.0,0.0,20/39,19/20,13/19,0/0,8.0,233.0,13/32,11/16,4/6,7.0,6/9,18.0,8.0,32/39,24/48,56/87,,,,203.0,6.0,0.0,32/48,19/32,5/16,2/6,7.0,37.0,1/20,6/19,0/0,8.0,5/14,13.0,13.0,24/48,7/39,31/87,,,
qs008,301.0,A. Mannarin...A. MANNARINO,D. StrickerD. STRICKER,me82,s0la,278.0,4.0,3.0,31/59,22/31,18/28,3/4,10.0,170.0,11/38,14/23,3/6,10.0,2/4,13.0,25.0,40/59,25/61,65/120,,,,241.0,2.0,5.0,38/61,27/38,9/23,3/6,10.0,100.0,9/31,10/28,1/4,10.0,6/11,13.0,36.0,36/61,19/59,55/120,,,
qs010,301.0,Z. BergsZ. BERGS,P. Carreno ...P. CARRENO BUSTA,bu13,cd85,259.0,11.0,1.0,71/107,49/71,17/36,11/15,15.0,139.0,23/72,16/30,3/9,15.0,14/19,38.0,61.0,66/107,39/102,105/209,,,,265.0,1.0,2.0,72/102,49/72,14/30,6/9,15.0,137.0,22/71,19/36,4/15,15.0,6/8,18.0,37.0,63/102,41/107,104/209,,,
qs012,301.0,F. Diaz aco...F. DIAZ ACOSTA,A. RaiA. RAI,d0cg,r0dc,296.0,2.0,1.0,33/47,26/33,8/14,2/3,9.0,197.0,10/32,16/25,4/7,9.0,9/14,12.0,20.0,34/47,26/57,60/104,,,,215.0,3.0,5.0,32/57,22/32,9/25,3/7,9.0,109.0,7/33,6/14,1/3,9.0,5/6,9.0,30.0,31/57,13/47,44/104,,,
qs014,301.0,B. Van de z...B. VAN DE ZANDSCHULP,N. Basavare...N. BASAVAREDDY,v812,b0nn,256.0,13.0,8.0,67/112,46/67,23/45,4/8,16.0,115.0,16/66,25/50,2/7,17.0,10/14,42.0,52.0,69/112,41/116,110/228,,,,270.0,6.0,8.0,66/116,50/66,25/50,5/7,17.0,155.0,21/67,22/45,4/8,16.0,10/13,25.0,40.0,75/116,43/112,118/228,,,
qs011,301.0,M. Janvier,F. Comesana,j620,c0df,233.0,5.0,7.0,49/92,33/49,19/43,5/9,13.0,104.0,18/75,23/38,1/8,15.0,8/18,34.0,51.0,52/92,41/113,93/205,,,,276.0,7.0,4.0,75/113,57/75,15/38,7/8,15.0,164.0,16/49,24/43,4/9,13.0,7/13,23.0,40.0,72/113,40/92,112/205,,,
qs015,301.0,C. Broom,D. Altmaier,bv21,ae14,196.0,2.0,5.0,38/54,22/38,4/16,5/10,9.0,133.0,11/49,22/31,2/10,10.0,14/17,19.0,38.0,26/54,33/80,59/134,,,,250.0,10.0,6.0,49/80,38/49,9/31,8/10,10.0,223.0,16/38,12/16,5/10,9.0,9/9,21.0,27.0,47/80,28/54,75/134,,,
qs013,301.0,D. Masur,L. Nardi,mn20,n0bg,248.0,4.0,5.0,66/107,44/66,19/41,11/15,15.0,172.0,9/54,14/29,1/1,15.0,6/10,21.0,35.0,63/107,23/83,86/190,,,,297.0,15.0,3.0,54/83,45/54,15/29,0/1,15.0,140.0,22/66,22/41,4/15,15.0,5/7,41.0,44.0,60/83,44/107,104/190,,,
qs009,301.0,A. Klintcha...A. KLINTCHAROV,S. NagalS. NAGAL,kg53,n897,249.0,2.0,2.0,56/76,33/56,10/20,2/6,12.0,125.0,12/38,10/28,2/5,11.0,15/19,18.0,31.0,43/76,22/66,65/142,,,,272.0,2.0,1.0,38/66,26/38,18/28,3/5,11.0,191.0,23/56,10/20,4/6,12.0,15/18,21.0,23.0,44/66,33/76,77/142,,,
ms001,375.0,A. Kovacevi...A. KOVACEVIC,F. Auger-al...F. AUGER-ALIASSIME,k0az,ag37,290.0,7.0,2.0,60/99,44/60,26/39,1/3,16.0,59.0,17/78,10/27,0/1,16.0,,,,70/99,27/105,97/204,,,,321.0,19.0,1.0,78/105,61/78,17/27,1/1,16.0,139.0,16/60,13/39,2/3,16.0,,,,78/105,29/99,107/204,,,
ms002,375.0,A. RublevA. RUBLEV,A. Kovacevi...A. KOVACEVIC,re44,k0az,267.0,8.0,2.0,35/55,27/35,10/20,2/5,11.0,99.0,8/41,18/36,1/5,11.0,,,,37/55,26/77,63/132,,,,279.0,9.0,1.0,41/77,33/41,18/36,4/5,11.0,160.0,8/35,10/20,3/5,11.0,,,,51/77,18/55,69/132,,,
ms003,375.0,J. De jongJ. DE JONG,F. Auger-al...F. AUGER-ALIASSIME,d0c1,ag37,261.0,11.0,2.0,57/86,40/57,11/29,11/13,11.0,111.0,11/42,12/28,1/3,11.0,0/0,0.0,0.0,51/86,23/70,74/156,,,,285.0,12.0,6.0,42/70,31/42,16/28,2/3,11.0,125.0,17/57,18/29,2/13,11.0,0/0,0.0,0.0,47/70,35/86,82/156,,,
ms004,375.0,A. RublevA. RUBLEV,N. Basilash...N. BASILASHVILI,re44,bg23,328.0,7.0,0.0,10/18,9/10,6/8,0/0,3.0,229.0,2/8,7/13,2/2,4.0,,,,15/18,9/21,24/39,,,,212.0,4.0,1.0,8/21,6/8,6/13,0/2,4.0,35.0,1/10,2/8,0/0,3.0,,,,12/21,3/18,15/39,,,
ms007,375.0,Y. BuY. BU,F. Auger-al...F. AUGER-ALIASSIME,y09v,ag37,262.0,3.0,0.0,27/53,22/27,13/26,3/5,9.0,46.0,5/35,5/16,0/0,10.0,,,,35/53,10/51,45/104,,,,329.0,11.0,0.0,35/51,30/35,11/16,0/0,10.0,131.0,5/27,13/26,2/5,9.0,,,,41/51,18/53,59/104,,,
ms005,375.0,A. BublikA. BUBLIK,A. Kovacevi...A. KOVACEVIC,bk92,k0az,230.0,12.0,7.0,37/65,28/37,9/28,6/9,8.0,66.0,6/37,11/22,0/8,9.0,,,,37/65,17/59,54/124,,,,298.0,4.0,0.0,37/59,31/37,11/22,8/8,9.0,163.0,9/37,19/28,3/9,8.0,,,,42/59,28/65,70/124,,,
ms006,375.0,T. Griekspo...T. GRIEKSPOOR,J. De jongJ. DE JONG,gj37,d0c1,296.0,12.0,3.0,43/68,35/43,14/25,2/3,11.0,64.0,11/55,11/25,0/6,11.0,,,,49/68,22/80,71/148,,,,308.0,8.0,1.0,55/80,44/55,14/25,6/6,11.0,105.0,8/43,11/25,1/3,11.0,,,,58/80,19/68,77/148,,,
ms013,375.0,J. De jong,F. Cobolli,d0c1,c0e9,291.0,9.0,1.0,30/64,27/30,20/34,3/4,11.0,138.0,17/43,13/29,2/6,10.0,,,,47/64,30/72,77/136,,,,256.0,2.0,0.0,43/72,26/43,16/29,4/6,10.0,85.0,3/30,14/34,1/4,11.0,,,,42/72,17/64,59/136,,,
